,ACC.NS,ADANIGREEN.NS,ADANIPOWER.NS,AMBUJACEM.NS,APLAPOLLO.NS,BPCL.NS,COALINDIA.NS,DALBHARAT.NS,DEEPAKNTR.NS,GRASIM.NS,HINDALCO.NS,HINDPETRO.NS,IOC.NS,JINDALSTEL.NS,JSWSTEEL.NS,NTPC.NS,ONGC.NS,PIDILITIND.NS,PIIND.NS,RELIANCE.NS,SAIL.NS,SHREECEM.NS,SRF.NS,TATACHEM.NS,TATAPOWER.NS,TATASTEEL.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS
ACC.NS,0.0003477882237064902,0.00020289195811855297,0.0002212552100373525,0.00033899567979953066,7.774973776988227e-05,9.685526127743586e-05,7.615017173418088e-05,0.0001840771656879136,0.00011382066840383207,0.00013269812769152383,0.00012035345924622843,0.0001118423012493435,9.29365288522256e-05,0.00016088774677156564,0.00010929009680233833,8.671574097386245e-05,4.141452731562583e-05,6.70802286515749e-05,8.167531867606087e-05,7.624288996706607e-05,0.00017809937182044114,0.0001326215327731648,0.00011326704875489437,0.0001202651584225836,0.00014705244264820628,0.00012629608642466167,0.0001302149856757618,9.548523177599607e-05,0.00012224342413767977
ADANIGREEN.NS,0.00020289195811855297,0.0011365542963710038,0.000532982335420118,0.00026889884263269983,5.783636270354883e-05,0.00011852030693655871,0.00010443650677856411,0.00013079817371487937,9.717068090474468e-05,0.00010464308510922943,0.0001423818249432496,0.00016837255414128407,0.00012219637662884853,0.00015332418522118215,0.00013944089349776645,8.587901881319472e-05,0.00011359551101359723,5.2919590048871646e-05,8.137844107600163e-05,8.849149418217195e-05,0.0001986250833787096,8.149619643238045e-05,0.00010742071850170035,0.00013867056306422589,0.00017261121241184406,0.00015266645055669705,6.53829719755443e-05,0.00010160689205112401,0.00016172637718020209
ADANIPOWER.NS,0.0002212552100373525,0.000532982335420118,0.0011718953005152059,0.00023741718961655075,0.00012944775881763545,0.00012045014207993016,0.00015960590961662324,0.0001720888167091062,0.00017162763778766878,0.00013162645962504186,0.00017558051793637732,0.00013978894534573974,0.0001274583817230794,0.00022128828999749234,0.00015177062793502374,0.00016419176102052,0.00011335185789514814,7.107005565952844e-05,0.00014616931787529692,0.00010787220799448604,0.00024247584629789217,0.00012782386075000846,0.00017459059200168378,0.00019503734509950896,0.0003037992657068127,0.00017444672474420354,9.900813349992507e-05,0.0001316580908971111,0.0002159384882942741
AMBUJACEM.NS,0.00033899567979953066,0.00026889884263269983,0.00023741718961655075,0.0004975099703555531,7.666286178201147e-05,0.00010203355706338041,7.989794026841663e-05,0.00020271871133756278,0.0001204120154344215,0.00013900261702916934,0.00010784222308299189,0.00012236604515000065,0.00010925319817241372,0.0001407298871300774,0.00010734666010147393,9.369757311536033e-05,4.500769265217452e-05,7.030109878349622e-05,8.559669889507827e-05,8.314671259452966e-05,0.00017739352761965177,0.00014814235838265955,0.00010955970262130799,0.00013611208237712444,0.00016608327002574276,0.00011866514410199777,0.00014146370388962634,9.841348656417137e-05,0.00013982499637204198
APLAPOLLO.NS,7.774973776988227e-05,5.783636270354883e-05,0.00012944775881763545,7.666286178201147e-05,0.0005435814549760818,7.125823033487491e-05,6.785731162218963e-05,0.00010166702911643851,0.0001529204584006764,7.14479136636099e-05,0.00011577325145808464,8.577873377369452e-05,7.536750197223805e-05,0.00015647180465412728,0.00010243840875690431,5.476476743244951e-05,5.021797139510957e-05,6.867280801985031e-05,8.557417586691263e-05,6.761983251344907e-05,0.00016749707609742322,6.785844527398474e-05,9.616086915275278e-05,0.00010636176429875735,0.00012329488628112607,0.00013347677770129528,5.9341631254561853e-05,7.75645255223274e-05,9.528296760783296e-05
BPCL.NS,9.685526127743586e-05,0.00011852030693655871,0.00012045014207993016,0.00010203355706338041,7.125823033487491e-05,0.00028568066199966154,0.00011955630605835981,8.68099437969588e-05,0.00010477309647805029,8.850393282357792e-05,8.892954484789829e-05,0.0002855292877542644,0.00021286611554837754,0.0001136235769451591,9.11085666585675e-05,9.631049346678271e-05,9.908478624469731e-05,4.8610741541770815e-05,7.878653554356078e-05,7.677526713496654e-05,0.00017958789840930733,6.396794944623492e-05,8.119358274077682e-05,0.00010309067720460566,0.00013680220048015266,0.00010605879499132962,6.943101323666337e-05,8.161627867382417e-05,0.00010522251360687025
COALINDIA.NS,7.615017173418088e-05,0.00010443650677856411,0.00015960590961662324,7.989794026841663e-05,6.785731162218963e-05,0.00011955630605835981,0.00036321321612187705,8.018269742127931e-05,0.0001129090808564205,8.21238974611283e-05,0.00017973198510117617,0.0001381597877088559,0.00014475906500170015,0.00019404395239899672,0.00015016825548924586,0.00014663666292857644,0.0001765582717019287,2.8803344581540075e-05,7.686147766423704e-05,9.777366600011844e-05,0.00024139819618600481,5.973898673844096e-05,0.00010677193504500197,0.00015208205222766067,0.0001978654190686648,0.00019370274079462413,3.9137295797616044e-05,0.00011586039947697782,0.00020976160568398394
DALBHARAT.NS,0.0001840771656879136,0.00013079817371487937,0.0001720888167091062,0.00020271871133756278,0.00010166702911643851,8.68099437969588e-05,8.018269742127931e-05,0.0004118102043280643,0.00016677774097666832,0.00015229473482910588,0.00013639129343653966,8.857953423252328e-05,8.791169084092649e-05,0.00018350351896175989,0.00012607369125004953,7.827229828589614e-05,3.652907430968718e-05,9.179104849868647e-05,0.00012087528078403281,7.212971290407067e-05,0.00018629472946241586,0.00014402341657223085,0.0001414791048643015,0.00013627543738186179,0.0001435179174254587,0.00015077204108205846,0.00015621066644749867,0.00012160243760470672,0.00014716675014230177
DEEPAKNTR.NS,0.00011382066840383207,9.717068090474468e-05,0.00017162763778766878,0.0001204120154344215,0.0001529204584006764,0.00010477309647805029,0.0001129090808564205,0.00016677774097666832,0.0004459183567595819,0.0001085722282889012,0.00013010563428913973,0.00010605282464754537,0.00010030890420070606,0.0001823222417373255,0.0001241089655432206,8.92828141025278e-05,7.680635035102541e-05,9.977132416002351e-05,0.00016066973179256294,9.131322391703351e-05,0.00020587304079965684,8.250333967250976e-05,0.00021754947634896032,0.0002230652486878024,0.00017260979853186102,0.00015403396691503478,9.599052448205201e-05,0.00014344621950647667,0.00016041599829925036
GRASIM.NS,0.00013269812769152383,0.00010464308510922943,0.00013162645962504186,0.00013900261702916934,7.14479136636099e-05,8.850393282357792e-05,8.21238974611283e-05,0.00015229473482910588,0.0001085722282889012,0.0002248941465759355,0.00013249203447555778,9.332984138172514e-05,7.968702215896556e-05,0.00014979267760471726,0.000132859836704978,7.319466051238309e-05,5.1029747693638505e-05,7.286040605881436e-05,8.862354850470075e-05,7.701230822989525e-05,0.0001559514885828065,0.00011296135068189867,0.00011018636571922699,0.00011744241792652538,0.00012344350000487433,0.00012879951737347072,0.00012904131954897578,8.957387216644345e-05,0.00011216424980138858
HINDALCO.NS,0.00012035345924622843,0.0001423818249432496,0.00017558051793637732,0.00010784222308299189,0.00011577325145808464,8.892954484789829e-05,0.00017973198510117617,0.00013639129343653966,0.00013010563428913973,0.00013249203447555778,0.0004931811413833807,9.523025579282935e-05,0.00010061825826637877,0.0003500531862374335,0.00027085631800268504,0.00010800749115318873,0.0001633258131586541,4.162789605048862e-05,0.00010375845766012268,0.00010948839934958378,0.00036259453640805225,7.372896772095881e-05,0.00012534688934499362,0.00018791417174261106,0.00019325672108922917,0.0003315448029423606,8.415882572561241e-05,0.00015238181738873305,0.000326411246734561
HINDPETRO.NS,0.0001118423012493435,0.00016837255414128407,0.00013978894534573974,0.00012236604515000065,8.577873377369452e-05,0.0002855292877542644,0.0001381597877088559,8.857953423252328e-05,0.00010605282464754537,9.332984138172514e-05,9.523025579282935e-05,0.0004887882495988004,0.00027172725882247163,0.00012857507144571433,9.879837819149568e-05,9.628950069338583e-05,0.00012141891892766468,5.774565089951067e-05,7.442873183124576e-05,7.550867929084475e-05,0.0001802453510724784,6.366728298419754e-05,8.00579475513236e-05,0.0001089725979285102,0.00014546372473205426,0.00011293166369785546,6.248235203435378e-05,9.485192157776032e-05,0.00011389516017012863
IOC.NS,9.29365288522256e-05,0.00012219637662884853,0.0001274583817230794,0.00010925319817241372,7.536750197223805e-05,0.00021286611554837754,0.00014475906500170015,8.791169084092649e-05,0.00010030890420070606,7.968702215896556e-05,0.00010061825826637877,0.00027172725882247163,0.00028660894862958725,0.00012215878003278406,9.30619978786141e-05,0.00011231117411813011,0.00012968282257558411,5.561196738678554e-05,6.377176372299477e-05,7.55297162045305e-05,0.00019339086750715733,5.2574578286456225e-05,8.324588107046853e-05,0.00011478053735490201,0.0001528099881332465,0.00011747508604054067,5.7558723488112424e-05,8.191741924635955e-05,0.000132517978381996
JINDALSTEL.NS,0.00016088774677156564,0.00015332418522118215,0.00022128828999749234,0.0001407298871300774,0.00015647180465412728,0.0001136235769451591,0.00019404395239899672,0.00018350351896175989,0.0001823222417373255,0.00014979267760471726,0.0003500531862374335,0.00012857507144571433,0.00012215878003278406,0.0005938268899287208,0.00035596733379455423,0.00013094612531174636,0.00016747971766160283,5.273348467699651e-05,0.00011925142873572426,0.00011076859085931531,0.0004469371101144704,9.839185797245453e-05,0.00014943989264875373,0.00021726534900287975,0.00023847078750082547,0.00041228804934736313,0.00011173524075982012,0.00017446412366762872,0.00033181308212250907
JSWSTEEL.NS,0.00010929009680233833,0.00013944089349776645,0.00015177062793502374,0.00010734666010147393,0.00010243840875690431,9.11085666585675e-05,0.00015016825548924586,0.00012607369125004953,0.0001241089655432206,0.000132859836704978,0.00027085631800268504,9.879837819149568e-05,9.30619978786141e-05,0.00035596733379455423,0.00035722394509408583,0.00010629596623001786,0.0001253660314708692,4.9647217350001584e-05,9.88346803491927e-05,9.431910313485592e-05,0.0003247561144283405,8.21715223748391e-05,0.00011725838822791471,0.00015353439862693825,0.0001759766306093091,0.0003169208196085305,9.359754745608644e-05,0.00013403817028093142,0.0002583553434994524
NTPC.NS,8.671574097386245e-05,8.587901881319472e-05,0.00016419176102052,9.369757311536033e-05,5.476476743244951e-05,9.631049346678271e-05,0.00014663666292857644,7.827229828589614e-05,8.92828141025278e-05,7.319466051238309e-05,0.00010800749115318873,9.628950069338583e-05,0.00011231117411813011,0.00013094612531174636,0.00010629596623001786,0.0002442368505502542,0.0001314630753405337,3.6440831390254184e-05,5.343499449212074e-05,6.417238656622938e-05,0.00016737310279006282,6.233680338217237e-05,8.871880039567411e-05,0.0001197652074283591,0.00017765885986764494,0.0001236048079528537,4.6755900619804756e-05,7.451369245152597e-05,0.00013349673882715268
ONGC.NS,4.141452731562583e-05,0.00011359551101359723,0.00011335185789514814,4.500769265217452e-05,5.021797139510957e-05,9.908478624469731e-05,0.0001765582717019287,3.652907430968718e-05,7.680635035102541e-05,5.1029747693638505e-05,0.0001633258131586541,0.00012141891892766468,0.00012968282257558411,0.00016747971766160283,0.0001253660314708692,0.0001314630753405337,0.00038835281990927194,-1.3608144714594816e-05,4.4082112917677266e-05,9.254897810535243e-05,0.0001792259166169341,1.0572073331604582e-05,5.971128060988283e-05,0.00010074320726326026,0.0001331305937228309,0.00015229966104216025,1.336707077482795e-05,8.201770499823114e-05,0.0001862245584006036
PIDILITIND.NS,6.70802286515749e-05,5.2919590048871646e-05,7.107005565952844e-05,7.030109878349622e-05,6.867280801985031e-05,4.8610741541770815e-05,2.8803344581540075e-05,9.179104849868647e-05,9.977132416002351e-05,7.286040605881436e-05,4.162789605048862e-05,5.774565089951067e-05,5.561196738678554e-05,5.273348467699651e-05,4.9647217350001584e-05,3.6440831390254184e-05,-1.3608144714594816e-05,0.0001946932168946032,6.7545716029486e-05,4.72377623122226e-05,7.346483397444414e-05,5.6482713561883665e-05,8.607880466536025e-05,7.573521269100494e-05,7.409170051811343e-05,4.933742785979807e-05,6.285471865705809e-05,6.419791452151396e-05,3.2949377251120444e-05
PIIND.NS,8.167531867606087e-05,8.137844107600163e-05,0.00014616931787529692,8.559669889507827e-05,8.557417586691263e-05,7.878653554356078e-05,7.686147766423704e-05,0.00012087528078403281,0.00016066973179256294,8.862354850470075e-05,0.00010375845766012268,7.442873183124576e-05,6.377176372299477e-05,0.00011925142873572426,9.88346803491927e-05,5.343499449212074e-05,4.4082112917677266e-05,6.7545716029486e-05,0.00034724720667635395,6.793091665806182e-05,0.0001311359354578095,7.856620598259724e-05,0.0001564497293101688,0.0001197428642063924,0.00012503692699878595,0.00010532299273895353,7.324034411241395e-05,0.00010067318059238731,0.0001126263880532391
RELIANCE.NS,7.624288996706607e-05,8.849149418217195e-05,0.00010787220799448604,8.314671259452966e-05,6.761983251344907e-05,7.677526713496654e-05,9.777366600011844e-05,7.212971290407067e-05,9.131322391703351e-05,7.701230822989525e-05,0.00010948839934958378,7.550867929084475e-05,7.55297162045305e-05,0.00011076859085931531,9.431910313485592e-05,6.417238656622938e-05,9.254897810535243e-05,4.72377623122226e-05,6.793091665806182e-05,0.00020711871936488407,0.00011744041652181982,4.982456287030522e-05,8.957001693192571e-05,0.00010022908841357033,0.00010558425862505969,0.00011234136839198917,6.291562389491907e-05,7.519699131141668e-05,0.0001197923557421807
SAIL.NS,0.00017809937182044114,0.0001986250833787096,0.00024247584629789217,0.00017739352761965177,0.00016749707609742322,0.00017958789840930733,0.00024139819618600481,0.00018629472946241586,0.00020587304079965684,0.0001559514885828065,0.00036259453640805225,0.0001802453510724784,0.00019339086750715733,0.0004469371101144704,0.0003247561144283405,0.00016737310279006282,0.0001792259166169341,7.346483397444414e-05,0.0001311359354578095,0.00011744041652181982,0.0006168787635189175,0.00010811274890107677,0.00015517737679006635,0.00024289688798316046,0.00030265636674547903,0.0004076113994487519,0.00011697784946388728,0.00017748300668004273,0.00036164757542263927
SHREECEM.NS,0.0001326215327731648,8.149619643238045e-05,0.00012782386075000846,0.00014814235838265955,6.785844527398474e-05,6.396794944623492e-05,5.973898673844096e-05,0.00014402341657223085,8.250333967250976e-05,0.00011296135068189867,7.372896772095881e-05,6.366728298419754e-05,5.2574578286456225e-05,9.839185797245453e-05,8.21715223748391e-05,6.233680338217237e-05,1.0572073331604582e-05,5.6482713561883665e-05,7.856620598259724e-05,4.982456287030522e-05,0.00010811274890107677,0.00026856893596872164,9.959814007952798e-05,7.824442882318043e-05,0.000102062613922716,8.1518298194395e-05,0.00013763010841554067,7.938392152152702e-05,7.188471002707474e-05
SRF.NS,0.00011326704875489437,0.00010742071850170035,0.00017459059200168378,0.00010955970262130799,9.616086915275278e-05,8.119358274077682e-05,0.00010677193504500197,0.0001414791048643015,0.00021754947634896032,0.00011018636571922699,0.00012534688934499362,8.00579475513236e-05,8.324588107046853e-05,0.00014943989264875373,0.00011725838822791471,8.871880039567411e-05,5.971128060988283e-05,8.607880466536025e-05,0.0001564497293101688,8.957001693192571e-05,0.00015517737679006635,9.959814007952798e-05,0.00033936410650976985,0.00015819379371367868,0.00015959453386725118,0.00013599081328389165,8.761461280362214e-05,0.0001206937946374123,0.0001409646349888132
TATACHEM.NS,0.0001202651584225836,0.00013867056306422589,0.00019503734509950896,0.00013611208237712444,0.00010636176429875735,0.00010309067720460566,0.00015208205222766067,0.00013627543738186179,0.0002230652486878024,0.00011744241792652538,0.00018791417174261106,0.0001089725979285102,0.00011478053735490201,0.00021726534900287975,0.00015353439862693825,0.0001197652074283591,0.00010074320726326026,7.573521269100494e-05,0.0001197428642063924,0.00010022908841357033,0.00024289688798316046,7.824442882318043e-05,0.00015819379371367868,0.00045314175326373373,0.0002487700566619083,0.00019765196496872238,7.01528947858891e-05,0.0001612355291860364,0.00021038055439911855
TATAPOWER.NS,0.00014705244264820628,0.00017261121241184406,0.0003037992657068127,0.00016608327002574276,0.00012329488628112607,0.00013680220048015266,0.0001978654190686648,0.0001435179174254587,0.00017260979853186102,0.00012344350000487433,0.00019325672108922917,0.00014546372473205426,0.0001528099881332465,0.00023847078750082547,0.0001759766306093091,0.00017765885986764494,0.0001331305937228309,7.409170051811343e-05,0.00012503692699878595,0.00010558425862505969,0.00030265636674547903,0.000102062613922716,0.00015959453386725118,0.0002487700566619083,0.0005112817750478572,0.00021124496246952555,9.141383786279126e-05,0.0001417892118406159,0.00026118380528282015
