,Industry,Original Portfolio,Minimum Variance Portfolio,Markowitz Portfolio,,,Sector,Original Portfolio,Minimum Variance Portfolio,Markowitz Portfolio
ACC.NS,Construction Materials,0.750%,0.000%,0.000%,,,Construction Materials,11.920%,22.338%,0.000%
ADANIGREEN.NS,Power,4.640%,0.320%,0.000%,,,Power,16.450%,10.678%,50.521%
ADANIPOWER.NS,Power,3.950%,0.000%,9.548%,,,Capital Goods,0.710%,3.608%,9.470%
AMBUJACEM.NS,Construction Materials,1.970%,0.000%,0.000%,,,Oil Gas & Consumable Fuels,48.380%,29.306%,35.260%
APLAPOLLO.NS,Capital Goods,0.710%,3.608%,9.470%,,,Chemicals,6.090%,34.070%,4.749%
BPCL.NS,Oil Gas & Consumable Fuels,2.140%,4.681%,0.000%,,,Metals and Mining,16.450%,0.000%,0.000%
COALINDIA.NS,Oil Gas & Consumable Fuels,4.510%,0.000%,20.723%,,,,100.000%,100.000%,100.000%
DALBHARAT.NS,Construction Materials,0.540%,0.000%,0.000%,,,,,,
DEEPAKNTR.NS,Chemicals,0.550%,0.000%,0.000%,,,,,,
GRASIM.NS,Construction Materials,2.580%,0.000%,0.000%,,,,,,
HINDALCO.NS,Metals & Mining,2.370%,0.000%,0.000%,,,,,,
HINDPETRO.NS,Oil Gas & Consumable Fuels,1.140%,0.000%,0.000%,,,,,,
IOC.NS,Oil Gas & Consumable Fuels,3.670%,0.000%,9.523%,,,,,,
JINDALSTEL.NS,Metals & Mining,1.630%,0.000%,0.000%,,,,,,
JSWSTEEL.NS,Metals & Mining,3.510%,0.000%,0.000%,,,,,,
NTPC.NS,Power,5.620%,10.358%,37.295%,,,,,,
ONGC.NS,Oil Gas & Consumable Fuels,5.600%,11.579%,5.014%,,,,,,
PIDILITIND.NS,Chemicals,2.470%,25.392%,4.749%,,,,,,
PIIND.NS,Chemicals,0.910%,5.233%,0.000%,,,,,,
RELIANCE.NS,Oil Gas & Consumable Fuels,31.320%,13.047%,0.000%,,,,,,
SAIL.NS,Metals & Mining,1.110%,0.000%,0.000%,,,,,,
SHREECEM.NS,Construction Materials,1.530%,7.884%,0.000%,,,,,,
SRF.NS,Chemicals,1.100%,0.000%,0.000%,,,,,,
TATACHEM.NS,Chemicals,0.440%,0.000%,0.000%,,,,,,
TATAPOWER.NS,Power,2.240%,0.000%,3.678%,,,,,,
TATASTEEL.NS,Metals & Mining,3.360%,0.000%,0.000%,,,,,,
ULTRACEMCO.NS,Construction Materials,4.550%,14.454%,0.000%,,,,,,
UPL.NS,Chemicals,0.620%,3.444%,0.000%,,,,,,
VEDL.NS,Metals & Mining,4.470%,0.000%,0.000%,,,,,,
,,100.000%,100.000%,100.000%,,,,,,
