,beta
MMM,1.035
AOS,1.253
ABT,0.74
ABBV,0.564
ACN,1.181
ADBE,1.272
AMD,1.635
AES,1.087
AFL,0.914
A,1.122
APD,0.812
ABNB,1.254
AKAM,0.703
ALB,1.646
ARE,1.068
ALGN,1.642
ALLE,1.134
LNT,0.54
ALL,0.513
GOOGL,1.054
GOOG,1.054
MO,0.695
AMZN,1.16
AMCR,0.844
AEE,0.449
AAL,1.569
AEP,0.508
AXP,1.227
AIG,1.028
AMT,0.674
AWK,0.624
AMP,1.347
AME,1.216
AMGN,0.595
APH,1.31
ADI,1.164
ANSS,1.15
AON,0.853
APA,3.306
AAPL,1.276
AMAT,1.583
APTV,1.904
ACGL,0.573
ADM,0.769
ANET,1.108
AJG,0.68
AIZ,0.508
T,0.701
ATO,0.663
ADSK,1.417
ADP,0.785
AZO,0.705
AVB,0.933
AVY,0.921
AXON,0.911
BKR,1.445
BALL,0.893
BAC,1.388
BK,1.113
BBWI,1.876
BAX,0.634
BDX,0.458
BRK-B,0.888
BBY,1.506
BIO,0.88
TECH,1.216
BIIB,-0.009
BLK,1.37
BX,1.486
BA,1.527
BKNG,1.402
BWA,1.285
BXP,1.165
BSX,0.793
BMY,0.39
AVGO,1.268
BR,0.982
BRO,0.781
BF-B,0.77
BLDR,2.057
BG,0.651
CDNS,1.032
CZR,2.813
CPT,0.851
CPB,0.23
COF,1.471
CAH,0.697
KMX,1.598
CCL,2.551
CARR,1.254
CTLT,1.189
CAT,1.164
CBOE,0.59
CBRE,1.424
CDW,1.084
CE,1.349
COR,0.465
CNC,0.391
CNP,0.932
CF,1.016
CHRW,0.743
CRL,1.41
SCHW,1.001
CHTR,0.951
CVX,1.129
CMG,1.301
CB,0.627
CHD,0.524
CI,0.576
CINF,0.624
CTAS,1.263
CSCO,0.852
C,1.496
CFG,1.354
CLX,0.422
CME,0.486
CMS,0.38
KO,0.586
CTSH,1.066
CL,0.406
CMCSA,0.967
CMA,1.283
CAG,0.389
COP,1.275
ED,0.353
STZ,0.937
CEG,0.743
